[2025-07-21 01:48:20] [INFO] [WATERING] Zone 2 activated | pin=6
[2025-07-23 20:03:12] [INFO] [watering] Manual zone activation | zone_id=1 duration=60
[2025-07-23 21:49:04] [INFO] [watering] Scheduled zone activation | zone_id=5 duration=900
[2025-07-23 21:49:04] [INFO] [watering] Scheduled event started | zone_id=5 scheduled_time=20:49 duration=900
[2025-07-23 22:03:23] [INFO] [watering] Manual zone activation | zone_id=2 duration=600
[2025-07-23 22:07:50] [INFO] [watering] Manual zone activation | zone_id=3 duration=600
[2025-07-23 22:19:36] [INFO] [watering] Manual zone activation | zone_id=2 duration=60
[2025-07-23 22:19:58] [INFO] [watering] Zone deactivated - manual | zone_id=2
[2025-07-23 22:24:15] [INFO] [watering] Manual zone activation | zone_id=2 duration=3600
[2025-07-23 22:24:17] [INFO] [watering] Zone deactivated - manual | zone_id=2
[2025-07-23 22:48:09] [INFO] [watering] Manual zone activation | zone_id=2 duration=60
[2025-07-23 22:50:34] [INFO] [watering] Manual zone activation | zone_id=2 duration=60
[2025-07-23 23:01:02] [INFO] [watering] Manual zone activation | zone_id=1 duration=60
[2025-07-24 00:14:04] [INFO] [watering] Manual zone activation | zone_id=1 duration=60
[2025-07-24 00:26:32] [INFO] [watering] Manual zone activation | zone_id=1 duration=1
[2025-07-24 00:49:00] [INFO] [watering] Scheduled zone activation | zone_id=1 duration=60
[2025-07-24 00:49:00] [INFO] [watering] Scheduled event started | zone_id=1 scheduled_time=00:49 duration=60
[2025-07-24 02:53:04] [INFO] [watering] Manual zone activation | zone_id=1 duration=1
[2025-07-24 02:53:15] [INFO] [watering] Manual zone activation | zone_id=1 duration=60
[2025-07-24 16:41:01] [INFO] [watering] Scheduled zone activation | zone_id=1 duration=60
[2025-07-24 16:41:01] [INFO] [watering] Scheduled event started | zone_id=1 scheduled_time=16:41 duration=60
[2025-07-24 19:56:39] [INFO] [watering] Manual zone activation | zone_id=1 duration=60
[2025-07-24 20:44:35] [INFO] [watering] Triggering initial smart duration refresh after initialization
[2025-07-24 20:44:35] [INFO] [watering] Zone duration updated with smart calculation | zone_id=1 new_duration=02:16:47 total_plants=2
[2025-07-24 20:44:35] [INFO] [watering] Smart duration refresh completed | zones_updated=1 zones_skipped=7 total_zones_checked=8
[2025-07-24 20:44:35] [INFO] [watering] Initial smart duration refresh completed | zones_updated=1
[2025-07-24 20:47:25] [INFO] [watering] Zone duration updated with smart calculation | zone_id=1 new_duration=00:06:18 total_plants=2
[2025-07-24 20:51:54] [INFO] [watering] Zone duration updated with smart calculation | zone_id=1 new_duration=01:27:15 total_plants=2
[2025-07-24 20:53:18] [INFO] [watering] Zone duration updated with smart calculation | zone_id=1 new_duration=02:02:39 total_plants=3
[2025-07-24 20:54:44] [INFO] [watering] Zone duration updated with smart calculation | zone_id=1 new_duration=03:26:27 total_plants=4
[2025-07-24 20:55:30] [INFO] [watering] Zone duration updated with smart calculation | zone_id=1 new_duration=00:06:18 total_plants=2
[2025-07-24 20:55:39] [INFO] [watering] Zone duration updated with smart calculation | zone_id=1 new_duration=00:06:18 total_plants=3
[2025-07-24 20:57:36] [INFO] [watering] Zone mode updated | zone_id=3 old_mode=manual new_mode=smart
[2025-07-24 20:57:36] [INFO] [watering] Zone converted to smart mode, calculating optimal schedule | zone_id=3
[2025-07-24 20:57:36] [INFO] [watering] Zone schedule updated with smart calculation | zone_id=3 new_duration=02:32:33 new_cycles=2 new_times=[{'start_time': '06:00', 'duration': '02:32:33'}, {'start_time': '18:00', 'duration': '02:32:33'}]
